Name, Popularity, MonthlyListeners, Followers
Sepultura, 63, 980088, 1196080
Angra, 57, 333714, 299625
Matanza, 56, 237881, 272920
Oficina G3, 55, 267331, 533259
Armored Dawn, 51, 175287, 13683
Malta, 50, 240089, 239259
Shaman, 45, 118457, 88469
Nervosa, 44, 65879, 55298
Gloria, 44, 65050, 77865
Far From Alaska, 42, 108149, 77371
Ratos De Porão, 42, 46263, 60211
Massacration, 41, 65931, 74895
Semblant, 39, 55383, 33812
Ego Kill Talent, 39, 64162, 35321
Project46, 38, 24769, 37599
BrokenRail, 37, 56713, 9935
Krisiun, 35, 26991, 75372
Dr. Sin, 35, 27722, 25442
Viper, 34, 28244, 27338
Almah, 33, 15581, 38436
Andre Matos, 33, 14127, 42248
Tuatha de Danann, 32, 13600, 26221
Violator, 32, 19522, 62621
Ponto Nulo no Céu, 31, 11481, 24820
Mindflow, 31, 18460, 13610
Hangar, 31, 10023, 18210
Kiara Rocks, 31, 22814, 8820
Worst, 29, 7697, 14822
Hibria, 28, 12150, 19854
John Wayne, 28, 6804, 10335
Torture Squad, 27, 7887, 19305
Soulspell, 27, 15784, 10146
Korzus, 26, 7334, 17816
Golpe De Estado, 25, 6828, 12676
Claustrofobia, 25, 6898, 11279
Insane Driver, 22, 9974, 2760
Oitão, 22, 3721, 9214
Black Pantera, 21, 5156, 4763
Noturnall, 20, 4063, 9558
Mattilha, 18, 2726, 6320
Eutenia, 18, 1980, 3742
Attomica, 17, 3198, 12776
Dark Avenger, 17, 1593, 5997
Hatefulmurder, 17, 1811, 4600
Lyria, 17, 2389, 8151
Sioux 66, 16, 2629, 3031
Armahda, 14, 1131, 3887
Rygel, 14, 3840, 1296
Carro Bomba, 14, 1131, 3277
NervoChaos, 14, 914, 4641
Age Of Artemis, 13, 1117, 4146
Laboratori, 13, 1812, 1421
Salario Mínimo, 13, 999, 2836
Venomous, 13, 1408, 1038
Maestrick, 13, 583, 2302
StormSons, 13, 711, 1941
Baranga, 12, 730, 3096
Vivalma, 11, 1903, 509
Ancesttral, 11, 882, 2570
Shadowside, 11, 789, 5070
Final Disaster, 11, 881, 367
Jackdevil, 11, 878, 4325
Genocidio, 10, 386, 1808
Republica, 10, 1319, 2462
Reckoning Hour, 9, 631, 1764
Válvera, 8, 594, 917
Woslom, 8, 542, 3048
Voodoopriest, 8, 568, 2799
Trayce, 8, 916, 1865
Inherence, 8, 405, 1388
MX, 8, 537, 3416
Acid Tree, 7, 754, 641
King of Bones, 7, 285, 1042
Furia Inc., 7, 332, 1454
Sinaya, 7, 544, 1875
Tamuya Thrash Tribe, 7, 761, 1030
King Bird, 6, 225, 840
Hatematter, 5, 167, 735
Distraught, 5, 347, 989
About 2 Crash, 4, 160, 777
Hevilan, 4, 291, 487
Aneurose, 4, 330, 350
Trezzy, 4, 205, 840
Ego Absence, 4, 132, 354
REMOVE SILENCE, 4, 94, 501
Attractha, 3, 335, 424
Perc3ption, 3, 142, 835
Painside, 3, 206, 784
Heaviest, 2, 93, 427
Hellarise, 1, 73, 259
Lifetime Code, 1, 21, 78
NoWay, 0, 34, 162
Kamboja, 0, 16, 149
Circo de Fantoches, 0, 15, 163
Allegro, 0, 19, 161
